Name,Record Type,Dataset Size,Dataset Shape,Dataset dtype
/AwakeEventData/BOVWA.06TCC4.AWAKECAM06/ExtractionImage/beamIntensity,dataset,1,"(1,)",float64
/AwakeEventData/BOVWA.06TCC4.AWAKECAM06/ExtractionImage/beamSize,dataset,1,"(1,)",float64
/AwakeEventData/BOVWA.06TCC4.AWAKECAM06/ExtractionImage/cogX,dataset,1,"(1,)",float64
/AwakeEventData/BOVWA.06TCC4.AWAKECAM06/ExtractionImage/cogY,dataset,1,"(1,)",float64
/AwakeEventData/BOVWA.06TCC4.AWAKECAM06/ExtractionImage/height,dataset,1,"(1,)",int32
/AwakeEventData/BOVWA.06TCC4.AWAKECAM06/ExtractionImage/horProjAmp,dataset,1,"(1,)",float64
/AwakeEventData/BOVWA.06TCC4.AWAKECAM06/ExtractionImage/horProjAvg,dataset,1,"(1,)",float64
/AwakeEventData/BOVWA.06TCC4.AWAKECAM06/ExtractionImage/horProjSigma,dataset,1,"(1,)",float64
/AwakeEventData/BOVWA.06TCC4.AWAKECAM06/ExtractionImage/horProjection,dataset,1600,"(1600,)",float64
/AwakeEventData/BOVWA.06TCC4.AWAKECAM06/ExtractionImage/imageRawData,dataset,1920000,"(1200, 1600)",int16
/AwakeEventData/BOVWA.06TCC4.AWAKECAM06/ExtractionImage/imageTimeStamp,dataset,1,"(1,)",int64
/AwakeEventData/BOVWA.06TCC4.AWAKECAM06/ExtractionImage/intensityAvg,dataset,1,"(1,)",float64
/AwakeEventData/BOVWA.06TCC4.AWAKECAM06/ExtractionImage/intensityHistogram,dataset,1000,"(1000,)",int32
/AwakeEventData/BOVWA.06TCC4.AWAKECAM06/ExtractionImage/intensityRMS,dataset,1,"(1,)",float64
/AwakeEventData/BOVWA.06TCC4.AWAKECAM06/ExtractionImage/intensitySigma,dataset,1,"(1,)",float64
/AwakeEventData/BOVWA.06TCC4.AWAKECAM06/ExtractionImage/pixelSize,dataset,1,"(1,)",float64
/AwakeEventData/BOVWA.06TCC4.AWAKECAM06/ExtractionImage/verProjAmp,dataset,1,"(1,)",float64
/AwakeEventData/BOVWA.06TCC4.AWAKECAM06/ExtractionImage/verProjAvg,dataset,1,"(1,)",float64
/AwakeEventData/BOVWA.06TCC4.AWAKECAM06/ExtractionImage/verProjSigma,dataset,1,"(1,)",float64
/AwakeEventData/BOVWA.06TCC4.AWAKECAM06/ExtractionImage/verProjection,dataset,1200,"(1200,)",float64
/AwakeEventData/BOVWA.06TCC4.AWAKECAM06/ExtractionImage/width,dataset,1,"(1,)",int32
/AwakeEventData/BOVWA.06TCC4.AWAKECAM06/PublishedSettings,group,n/a,n/a,n/a
/AwakeEventData/BOVWA.06TCC4.AWAKECAM06/PublishedSettings/delayTime,dataset,1,"(1,)",float64
/AwakeEventData/BOVWA.06TCC4.AWAKECAM06/PublishedSettings/exposureTime,dataset,1,"(1,)",float64
/AwakeEventData/BOVWA.06TCC4.AWAKECAM06/PublishedSettings/gain,dataset,1,"(1,)",int64
/AwakeEventData/BOVWA.06TCC4.AWAKECAM06/PublishedSettings/triggerMode,dataset,1,"(1,)",|S2
/AwakeEventData/BOVWA.07TCC4.AWAKECAM07,group,n/a,n/a,n/a
/AwakeEventData/BOVWA.07TCC4.AWAKECAM07/ExtractionImage,group,n/a,n/a,n/a
/AwakeEventData/BOVWA.07TCC4.AWAKECAM07/ExtractionImage/beamIntensity,dataset,1,"(1,)",float64
/AwakeEventData/BOVWA.07TCC4.AWAKECAM07/ExtractionImage/beamSize,dataset,1,"(1,)",float64
/AwakeEventData/BOVWA.07TCC4.AWAKECAM07/ExtractionImage/cogX,dataset,1,"(1,)",float64
/AwakeEventData/BOVWA.07TCC4.AWAKECAM07/ExtractionImage/cogY,dataset,1,"(1,)",float64
/AwakeEventData/BOVWA.07TCC4.AWAKECAM07/ExtractionImage/height,dataset,1,"(1,)",int32
/AwakeEventData/BOVWA.07TCC4.AWAKECAM07/ExtractionImage/horProjAmp,dataset,1,"(1,)",float64
/AwakeEventData/BOVWA.07TCC4.AWAKECAM07/ExtractionImage/horProjAvg,dataset,1,"(1,)",float64
/AwakeEventData/BOVWA.07TCC4.AWAKECAM07/ExtractionImage/horProjSigma,dataset,1,"(1,)",float64
/AwakeEventData/BOVWA.07TCC4.AWAKECAM07/ExtractionImage/horProjection,dataset,1600,"(1600,)",float64
/AwakeEventData/BOVWA.07TCC4.AWAKECAM07/ExtractionImage/imageRawData,dataset,1920000,"(1200, 1600)",int16
/AwakeEventData/BOVWA.07TCC4.AWAKECAM07/ExtractionImage/imageTimeStamp,dataset,1,"(1,)",int64
/AwakeEventData/BOVWA.07TCC4.AWAKECAM07/ExtractionImage/intensityAvg,dataset,1,"(1,)",float64
/AwakeEventData/BOVWA.07TCC4.AWAKECAM07/ExtractionImage/intensityHistogram,dataset,1000,"(1000,)",int32
/AwakeEventData/BOVWA.07TCC4.AWAKECAM07/ExtractionImage/intensityRMS,dataset,1,"(1,)",float64
/AwakeEventData/BOVWA.07TCC4.AWAKECAM07/ExtractionImage/intensitySigma,dataset,1,"(1,)",float64
/AwakeEventData/BOVWA.07TCC4.AWAKECAM07/ExtractionImage/pixelSize,dataset,1,"(1,)",float64
/AwakeEventData/BOVWA.07TCC4.AWAKECAM07/ExtractionImage/verProjAmp,dataset,1,"(1,)",float64
/AwakeEventData/BOVWA.07TCC4.AWAKECAM07/ExtractionImage/verProjAvg,dataset,1,"(1,)",float64
/AwakeEventData/BOVWA.07TCC4.AWAKECAM07/ExtractionImage/verProjSigma,dataset,1,"(1,)",float64
/AwakeEventData/BOVWA.07TCC4.AWAKECAM07/ExtractionImage/verProjection,dataset,1200,"(1200,)",float64
/AwakeEventData/BOVWA.07TCC4.AWAKECAM07/ExtractionImage/width,dataset,1,"(1,)",int32
/AwakeEventData/BOVWA.07TCC4.AWAKECAM07/PublishedSettings,group,n/a,n/a,n/a
/AwakeEventData/BOVWA.07TCC4.AWAKECAM07/PublishedSettings/delayTime,dataset,1,"(1,)",float64
/AwakeEventData/BOVWA.07TCC4.AWAKECAM07/PublishedSettings/exposureTime,dataset,1,"(1,)",float64
/AwakeEventData/BOVWA.07TCC4.AWAKECAM07/PublishedSettings/gain,dataset,1,"(1,)",int64
/AwakeEventData/BOVWA.07TCC4.AWAKECAM07/PublishedSettings/triggerMode,dataset,1,"(1,)",|S2
/AwakeEventData/BOVWA.11TCC4.AWAKECAM11,group,n/a,n/a,n/a
/AwakeEventData/BOVWA.11TCC4.AWAKECAM11/ExtractionImage,group,n/a,n/a,n/a
/AwakeEventData/BOVWA.11TCC4.AWAKECAM11/ExtractionImage/beamIntensity,dataset,1,"(1,)",float64
/AwakeEventData/BOVWA.11TCC4.AWAKECAM11/ExtractionImage/beamSize,dataset,1,"(1,)",float64
/AwakeEventData/BOVWA.11TCC4.AWAKECAM11/ExtractionImage/cogX,dataset,1,"(1,)",float64
/AwakeEventData/BOVWA.11TCC4.AWAKECAM11/ExtractionImage/cogY,dataset,1,"(1,)",float64
/AwakeEventData/BOVWA.11TCC4.AWAKECAM11/ExtractionImage/height,dataset,1,"(1,)",int32
/AwakeEventData/BOVWA.11TCC4.AWAKECAM11/ExtractionImage/horProjAmp,dataset,1,"(1,)",float64
/AwakeEventData/BOVWA.11TCC4.AWAKECAM11/ExtractionImage/horProjAvg,dataset,1,"(1,)",float64
/AwakeEventData/BOVWA.11TCC4.AWAKECAM11/ExtractionImage/horProjSigma,dataset,1,"(1,)",float64
/AwakeEventData/BOVWA.11TCC4.AWAKECAM11/ExtractionImage/horProjection,dataset,1280,"(1280,)",float64
/AwakeEventData/BOVWA.11TCC4.AWAKECAM11/ExtractionImage/imageRawData,dataset,1228800,"(960, 1280)",int16
/AwakeEventData/BOVWA.11TCC4.AWAKECAM11/ExtractionImage/imageTimeStamp,dataset,1,"(1,)",int64
/AwakeEventData/BOVWA.11TCC4.AWAKECAM11/ExtractionImage/intensityAvg,dataset,1,"(1,)",float64
/AwakeEventData/BOVWA.11TCC4.AWAKECAM11/ExtractionImage/intensityHistogram,dataset,1000,"(1000,)",int32
/AwakeEventData/BOVWA.11TCC4.AWAKECAM11/ExtractionImage/intensityRMS,dataset,1,"(1,)",float64
/AwakeEventData/BOVWA.11TCC4.AWAKECAM11/ExtractionImage/intensitySigma,dataset,1,"(1,)",float64
/AwakeEventData/BOVWA.11TCC4.AWAKECAM11/ExtractionImage/pixelSize,dataset,1,"(1,)",float64
/AwakeEventData/BOVWA.11TCC4.AWAKECAM11/ExtractionImage/verProjAmp,dataset,1,"(1,)",float64
/AwakeEventData/BOVWA.11TCC4.AWAKECAM11/ExtractionImage/verProjAvg,dataset,1,"(1,)",float64
/AwakeEventData/BOVWA.11TCC4.AWAKECAM11/ExtractionImage/verProjSigma,dataset,1,"(1,)",float64
/AwakeEventData/BOVWA.11TCC4.AWAKECAM11/ExtractionImage/verProjection,dataset,960,"(960,)",float64
/AwakeEventData/BOVWA.11TCC4.AWAKECAM11/ExtractionImage/width,dataset,1,"(1,)",int32
/AwakeEventData/BOVWA.11TCC4.AWAKECAM11/PublishedSettings,group,n/a,n/a,n/a
/AwakeEventData/BOVWA.11TCC4.AWAKECAM11/PublishedSettings/delayTime,dataset,1,"(1,)",float64
/AwakeEventData/BOVWA.11TCC4.AWAKECAM11/PublishedSettings/exposureTime,dataset,1,"(1,)",float64
/AwakeEventData/BOVWA.11TCC4.AWAKECAM11/PublishedSettings/gain,dataset,1,"(1,)",int64
/AwakeEventData/BOVWA.11TCC4.AWAKECAM11/PublishedSettings/triggerMode,dataset,1,"(1,)",|S2
/AwakeEventData/BPM.AWAKE.TT41,group,n/a,n/a,n/a
/AwakeEventData/BPM.AWAKE.TT41/Acquisition,group,n/a,n/a,n/a
/AwakeEventData/BPM.AWAKE.TT41/Acquisition/bpmNames,dataset,32,"(32,)",|S15
/AwakeEventData/BPM.AWAKE.TT41/Acquisition/dynDestination,dataset,1,"(1,)",|S5
/AwakeEventData/BPM.AWAKE.TT41/Acquisition/horPosOk,dataset,0,"(0,)",No NumPy equivalent for TypeBitfieldID exists
/AwakeEventData/BPM.AWAKE.TT41/Acquisition/horPosition,dataset,32,"(32,)",float32
/AwakeEventData/BPM.AWAKE.TT41/Acquisition/nbOfBpms,dataset,1,"(1,)",int16
/AwakeEventData/BPM.AWAKE.TT41/Acquisition/verPosOk,dataset,0,"(0,)",No NumPy equivalent for TypeBitfieldID exists
/AwakeEventData/BPM.AWAKE.TT41/Acquisition/verPosition,dataset,32,"(32,)",float32
/AwakeEventData/BTV.TT41.412354_FILTER,group,n/a,n/a,n/a
/AwakeEventData/BTV.TT41.412354_FILTER/Acquisition,group,n/a,n/a,n/a
/AwakeEventData/BTV.TT41.412354_FILTER/Acquisition/position,dataset,1,"(1,)",int32
/AwakeEventData/BTV.TT41.412426_FWHEEL,group,n/a,n/a,n/a
/AwakeEventData/BTV.TT41.412426_FWHEEL/Acquisition,group,n/a,n/a,n/a
/AwakeEventData/BTV.TT41.412426_FWHEEL/Acquisition/position,dataset,1,"(1,)",int32
/AwakeEventData/BTV.TT41.412426_MASK_H,group,n/a,n/a,n/a
/AwakeEventData/BTV.TT41.412426_MASK_H/Acquisition,group,n/a,n/a,n/a
/AwakeEventData/BTV.TT41.412426_MASK_H/Acquisition/position,dataset,1,"(1,)",int32
/AwakeEventData/BTV.TT41.412426_MASK_V,group,n/a,n/a,n/a
/AwakeEventData/BTV.TT41.412426_MASK_V/Acquisition,group,n/a,n/a,n/a
/AwakeEventData/BTV.TT41.412426_MASK_V/Acquisition/position,dataset,1,"(1,)",int32
/AwakeEventData/BTV.TT41.412442_FWHEEL,group,n/a,n/a,n/a
/AwakeEventData/BTV.TT41.412442_FWHEEL/Acquisition,group,n/a,n/a,n/a
/AwakeEventData/BTV.TT41.412442_FWHEEL/Acquisition/position,dataset,1,"(1,)",int32
/AwakeEventData/BTV.TT41.412442_MASK_H,group,n/a,n/a,n/a
/AwakeEventData/BTV.TT41.412442_MASK_H/Acquisition,group,n/a,n/a,n/a
/AwakeEventData/BTV.TT41.412442_MASK_H/Acquisition/position,dataset,1,"(1,)",int32
/AwakeEventData/BTV.TT41.412442_MASK_V,group,n/a,n/a,n/a
/AwakeEventData/BTV.TT41.412442_MASK_V/Acquisition,group,n/a,n/a,n/a
/AwakeEventData/BTV.TT41.412442_MASK_V/Acquisition/position,dataset,1,"(1,)",int32
/AwakeEventData/EMETER02,group,n/a,n/a,n/a
/AwakeEventData/EMETER02/Acq,group,n/a,n/a,n/a
/AwakeEventData/EMETER02/Acq/outOfRange,dataset,1,(),bool
/AwakeEventData/EMETER02/Acq/value,dataset,1,"(1,)",float32
/AwakeEventData/EMETER02/Acq/value_units,dataset,1,"(1,)",|S1
/AwakeEventData/EMETER03,group,n/a,n/a,n/a
/AwakeEventData/EMETER03/Acq,group,n/a,n/a,n/a
/AwakeEventData/EMETER03/Acq/outOfRange,dataset,1,(),bool
/AwakeEventData/EMETER03/Acq/value,dataset,1,"(1,)",float32
/AwakeEventData/EMETER03/Acq/value_units,dataset,1,"(1,)",|S1
/AwakeEventData/EMETER04,group,n/a,n/a,n/a
/AwakeEventData/EMETER04/Acq,group,n/a,n/a,n/a
/AwakeEventData/EMETER04/Acq/outOfRange,dataset,1,(),bool
/AwakeEventData/EMETER04/Acq/value,dataset,1,"(1,)",float32
/AwakeEventData/EMETER04/Acq/value_units,dataset,1,"(1,)",|S1
/AwakeEventData/EMETER05,group,n/a,n/a,n/a
/AwakeEventData/EMETER05/Acq,group,n/a,n/a,n/a
/AwakeEventData/EMETER05/Acq/outOfRange,dataset,1,(),bool
/AwakeEventData/EMETER05/Acq/value,dataset,1,"(1,)",float32
/AwakeEventData/EMETER05/Acq/value_units,dataset,1,"(1,)",|S1
/AwakeEventData/FWHEEL01,group,n/a,n/a,n/a
/AwakeEventData/FWHEEL01/Acq,group,n/a,n/a,n/a
/AwakeEventData/FWHEEL01/Acq/backWheelPositionDescription,dataset,1,"(1,)",|S6
/AwakeEventData/FWHEEL01/Acq/frontWheelPositionDescription,dataset,1,"(1,)",|S6
/AwakeEventData/FWHEEL01/Acq/status,dataset,1,"(1,)",int32
/AwakeEventData/GD_BPM.AWAKE.TRIUMF,group,n/a,n/a,n/a
/AwakeEventData/GD_BPM.AWAKE.TRIUMF/AcquisitionSPS,group,n/a,n/a,n/a
/AwakeEventData/GD_BPM.AWAKE.TRIUMF/AcquisitionSPS/bpmNames,dataset,14,"(14,)",|S18
/AwakeEventData/GD_BPM.AWAKE.TRIUMF/AcquisitionSPS/horPos,dataset,14,"(14,)",float32
/AwakeEventData/GD_BPM.AWAKE.TRIUMF/AcquisitionSPS/nbOfBpms,dataset,1,"(1,)",int32
/AwakeEventData/GD_BPM.AWAKE.TRIUMF/AcquisitionSPS/posOK,dataset,1,"(1,)",No NumPy equivalent for TypeBitfieldID exists
/AwakeEventData/GD_BPM.AWAKE.TRIUMF/AcquisitionSPS/sigma,dataset,14,"(14,)",int32
/AwakeEventData/GD_BPM.AWAKE.TRIUMF/AcquisitionSPS/verPos,dataset,14,"(14,)",float32
/AwakeEventData/GD_BPM.AWAKE.TRIUMF/GlobalAcquisition,group,n/a,n/a,n/a
/AwakeEventData/GD_BPM.AWAKE.TRIUMF/GlobalAcquisition/bpmNames,dataset,14,"(14,)",|S18
/AwakeEventData/GD_BPM.AWAKE.TRIUMF/GlobalAcquisition/horPos,dataset,14,"(14,)",float32
/AwakeEventData/GD_BPM.AWAKE.TRIUMF/GlobalAcquisition/horPosSelected,dataset,14,"(14,)",float32
/AwakeEventData/GD_BPM.AWAKE.TRIUMF/GlobalAcquisition/nbOfBpms,dataset,1,"(1,)",int32
/AwakeEventData/GD_BPM.AWAKE.TRIUMF/GlobalAcquisition/posOK,dataset,1,"(1,)",No NumPy equivalent for TypeBitfieldID exists
/AwakeEventData/GD_BPM.AWAKE.TRIUMF/GlobalAcquisition/posOkSelected,dataset,0,"(0,)",No NumPy equivalent for TypeBitfieldID exists
/AwakeEventData/GD_BPM.AWAKE.TRIUMF/GlobalAcquisition/sigma,dataset,14,"(14,)",float32
/AwakeEventData/GD_BPM.AWAKE.TRIUMF/GlobalAcquisition/sigmaSelected,dataset,14,"(14,)",int32
/AwakeEventData/GD_BPM.AWAKE.TRIUMF/GlobalAcquisition/verPos,dataset,14,"(14,)",float32
/AwakeEventData/GD_BPM.AWAKE.TRIUMF/GlobalAcquisition/verPosSelected,dataset,14,"(14,)",float32
/AwakeEventData/LSSE2,group,n/a,n/a,n/a
/AwakeEventData/LSSE2/Acq,group,n/a,n/a,n/a
/AwakeEventData/LSSE2/Acq/position,dataset,1,"(1,)",int32
/AwakeEventData/LSSP2,group,n/a,n/a,n/a
/AwakeEventData/LSSP2/Acq,group,n/a,n/a,n/a
/AwakeEventData/LSSP2/Acq/position,dataset,1,"(1,)",int32
/AwakeEventData/MPP-TSG41-MIRROR1-H,group,n/a,n/a,n/a
/AwakeEventData/MPP-TSG41-MIRROR1-H/Acquisition,group,n/a,n/a,n/a
/AwakeEventData/MPP-TSG41-MIRROR1-H/Acquisition/position,dataset,1,"(1,)",int32
/AwakeEventData/MPP-TSG41-MIRROR1-V,group,n/a,n/a,n/a
/AwakeEventData/MPP-TSG41-MIRROR1-V/Acquisition,group,n/a,n/a,n/a
/AwakeEventData/MPP-TSG41-MIRROR1-V/Acquisition/position,dataset,1,"(1,)",int32
/AwakeEventData/MPP-TSG41-WHEEL1-BI,group,n/a,n/a,n/a
/AwakeEventData/MPP-TSG41-WHEEL1-BI/Acquisition,group,n/a,n/a,n/a
/AwakeEventData/MPP-TSG41-WHEEL1-BI/Acquisition/position,dataset,1,"(1,)",int32
/AwakeEventData/MPP-VACTRANS-CTR,group,n/a,n/a,n/a
/AwakeEventData/MPP-VACTRANS-CTR/Acquisition,group,n/a,n/a,n/a
/AwakeEventData/MPP-VACTRANS-CTR/Acquisition/mmPosition,dataset,1,"(1,)",float64
/AwakeEventData/MPP-VACTRANS-CTR/Acquisition/position,dataset,1,"(1,)",int32
/AwakeEventData/MPP-VACTRANS-CTR/Acquisition/stepperBusy,dataset,1,(),bool
/AwakeEventData/MPP-VACTRANS-CTR/Acquisition/switchIn,dataset,1,(),bool
/AwakeEventData/MPP-VACTRANS-CTR/Acquisition/switchOut,dataset,1,(),bool
/AwakeEventData/MPP-VACTRANS-OTR,group,n/a,n/a,n/a
/AwakeEventData/MPP-VACTRANS-OTR/Acquisition,group,n/a,n/a,n/a
/AwakeEventData/MPP-VACTRANS-OTR/Acquisition/mmPosition,dataset,1,"(1,)",float64
/AwakeEventData/MPP-VACTRANS-OTR/Acquisition/position,dataset,1,"(1,)",int32
/AwakeEventData/MPP-VACTRANS-OTR/Acquisition/stepperBusy,dataset,1,(),bool
/AwakeEventData/MPP-VACTRANS-OTR/Acquisition/switchIn,dataset,1,(),bool
/AwakeEventData/MPP-VACTRANS-OTR/Acquisition/switchOut,dataset,1,(),bool
/AwakeEventData/MPPAWAKE-STANDA-08.AXIS01,group,n/a,n/a,n/a
/AwakeEventData/MPPAWAKE-STANDA-08.AXIS01/Movement,group,n/a,n/a,n/a
/AwakeEventData/MPPAWAKE-STANDA-08.AXIS01/Movement/leftLimitSwitchReached,dataset,1,(),|S128
/AwakeEventData/MPPAWAKE-STANDA-08.AXIS01/Movement/position,dataset,1,(),|S128
/AwakeEventData/MPPAWAKE-STANDA-08.AXIS01/Movement/rightLimitSwitchReached,dataset,1,(),|S128
/AwakeEventData/MPPAWAKE-STANDA-08.AXIS02,group,n/a,n/a,n/a
/AwakeEventData/MPPAWAKE-STANDA-08.AXIS02/Movement,group,n/a,n/a,n/a
/AwakeEventData/MPPAWAKE-STANDA-08.AXIS02/Movement/leftLimitSwitchReached,dataset,1,(),|S128
/AwakeEventData/MPPAWAKE-STANDA-08.AXIS02/Movement/position,dataset,1,(),|S128
/AwakeEventData/MPPAWAKE-STANDA-08.AXIS02/Movement/rightLimitSwitchReached,dataset,1,(),|S128
/AwakeEventData/MPPAWAKE-STANDA-08.AXIS03,group,n/a,n/a,n/a
/AwakeEventData/MPPAWAKE-STANDA-08.AXIS03/Movement,group,n/a,n/a,n/a
/AwakeEventData/MPPAWAKE-STANDA-08.AXIS03/Movement/leftLimitSwitchReached,dataset,1,(),|S128
/AwakeEventData/MPPAWAKE-STANDA-08.AXIS03/Movement/position,dataset,1,(),|S128
/AwakeEventData/MPPAWAKE-STANDA-08.AXIS03/Movement/rightLimitSwitchReached,dataset,1,(),|S128
/AwakeEventData/MPPAWAKE-STANDA-08.AXIS04,group,n/a,n/a,n/a
/AwakeEventData/MPPAWAKE-STANDA-08.AXIS04/Movement,group,n/a,n/a,n/a
/AwakeEventData/MPPAWAKE-STANDA-08.AXIS04/Movement/leftLimitSwitchReached,dataset,1,(),|S128
/AwakeEventData/MPPAWAKE-STANDA-08.AXIS04/Movement/position,dataset,1,(),|S128
/AwakeEventData/MPPAWAKE-STANDA-08.AXIS04/Movement/rightLimitSwitchReached,dataset,1,(),|S128
/AwakeEventData/MPPAWAKE-STANDA-08.AXIS09,group,n/a,n/a,n/a
/AwakeEventData/MPPAWAKE-STANDA-08.AXIS09/Movement,group,n/a,n/a,n/a
/AwakeEventData/MPPAWAKE-STANDA-08.AXIS09/Movement/leftLimitSwitchReached,dataset,1,(),|S128
/AwakeEventData/MPPAWAKE-STANDA-08.AXIS09/Movement/position,dataset,1,(),|S128
/AwakeEventData/MPPAWAKE-STANDA-08.AXIS09/Movement/rightLimitSwitchReached,dataset,1,(),|S128
/AwakeEventData/MPPAWAKE-STANDA-08.AXIS10,group,n/a,n/a,n/a
/AwakeEventData/MPPAWAKE-STANDA-08.AXIS10/Movement,group,n/a,n/a,n/a
/AwakeEventData/MPPAWAKE-STANDA-08.AXIS10/Movement/leftLimitSwitchReached,dataset,1,(),|S128
/AwakeEventData/MPPAWAKE-STANDA-08.AXIS10/Movement/position,dataset,1,(),|S128
/AwakeEventData/MPPAWAKE-STANDA-08.AXIS10/Movement/rightLimitSwitchReached,dataset,1,(),|S128
/AwakeEventData/MPPAWAKE-STANDA-08.AXIS11,group,n/a,n/a,n/a
/AwakeEventData/MPPAWAKE-STANDA-08.AXIS11/Movement,group,n/a,n/a,n/a
/AwakeEventData/MPPAWAKE-STANDA-08.AXIS11/Movement/leftLimitSwitchReached,dataset,1,(),|S128
/AwakeEventData/MPPAWAKE-STANDA-08.AXIS11/Movement/position,dataset,1,(),|S128
/AwakeEventData/MPPAWAKE-STANDA-08.AXIS11/Movement/rightLimitSwitchReached,dataset,1,(),|S128
/AwakeEventData/MPPAWAKE-STANDA-08.AXIS12,group,n/a,n/a,n/a
/AwakeEventData/MPPAWAKE-STANDA-08.AXIS12/Movement,group,n/a,n/a,n/a
/AwakeEventData/MPPAWAKE-STANDA-08.AXIS12/Movement/leftLimitSwitchReached,dataset,1,(),|S128
/AwakeEventData/MPPAWAKE-STANDA-08.AXIS12/Movement/position,dataset,1,(),|S128
/AwakeEventData/MPPAWAKE-STANDA-08.AXIS12/Movement/rightLimitSwitchReached,dataset,1,(),|S128
/AwakeEventData/MPPAWAKE-STANDA-12.AXIS01,group,n/a,n/a,n/a
/AwakeEventData/MPPAWAKE-STANDA-12.AXIS01/Movement,group,n/a,n/a,n/a
/AwakeEventData/MPPAWAKE-STANDA-12.AXIS01/Movement/leftLimitSwitchReached,dataset,1,(),|S128
/AwakeEventData/MPPAWAKE-STANDA-12.AXIS01/Movement/position,dataset,1,(),|S128
/AwakeEventData/MPPAWAKE-STANDA-12.AXIS01/Movement/rightLimitSwitchReached,dataset,1,(),|S128
/AwakeEventData/MPPAWAKE-STANDA-12.AXIS02,group,n/a,n/a,n/a
/AwakeEventData/MPPAWAKE-STANDA-12.AXIS02/Movement,group,n/a,n/a,n/a
/AwakeEventData/MPPAWAKE-STANDA-12.AXIS02/Movement/leftLimitSwitchReached,dataset,1,(),|S128
/AwakeEventData/MPPAWAKE-STANDA-12.AXIS02/Movement/position,dataset,1,(),|S128
/AwakeEventData/MPPAWAKE-STANDA-12.AXIS02/Movement/rightLimitSwitchReached,dataset,1,(),|S128
/AwakeEventData/MPPAWAKE-STANDA-12.AXIS03,group,n/a,n/a,n/a
/AwakeEventData/MPPAWAKE-STANDA-12.AXIS03/Movement,group,n/a,n/a,n/a
/AwakeEventData/MPPAWAKE-STANDA-12.AXIS03/Movement/leftLimitSwitchReached,dataset,1,(),|S128
/AwakeEventData/MPPAWAKE-STANDA-12.AXIS03/Movement/position,dataset,1,(),|S128
/AwakeEventData/MPPAWAKE-STANDA-12.AXIS03/Movement/rightLimitSwitchReached,dataset,1,(),|S128
/AwakeEventData/MPPAWAKE-STANDA-12.AXIS04,group,n/a,n/a,n/a
/AwakeEventData/MPPAWAKE-STANDA-12.AXIS04/Movement,group,n/a,n/a,n/a
/AwakeEventData/MPPAWAKE-STANDA-12.AXIS04/Movement/leftLimitSwitchReached,dataset,1,(),|S128
/AwakeEventData/MPPAWAKE-STANDA-12.AXIS04/Movement/position,dataset,1,(),|S128
/AwakeEventData/MPPAWAKE-STANDA-12.AXIS04/Movement/rightLimitSwitchReached,dataset,1,(),|S128
/AwakeEventData/MPPAWAKE-STANDA-12.AXIS05,group,n/a,n/a,n/a
/AwakeEventData/MPPAWAKE-STANDA-12.AXIS05/Movement,group,n/a,n/a,n/a
/AwakeEventData/MPPAWAKE-STANDA-12.AXIS05/Movement/leftLimitSwitchReached,dataset,1,(),|S128
/AwakeEventData/MPPAWAKE-STANDA-12.AXIS05/Movement/position,dataset,1,(),|S128
/AwakeEventData/MPPAWAKE-STANDA-12.AXIS05/Movement/rightLimitSwitchReached,dataset,1,(),|S128
/AwakeEventData/MPPAWAKE-STANDA-12.AXIS06,group,n/a,n/a,n/a
/AwakeEventData/MPPAWAKE-STANDA-12.AXIS06/Movement,group,n/a,n/a,n/a
/AwakeEventData/MPPAWAKE-STANDA-12.AXIS06/Movement/leftLimitSwitchReached,dataset,1,(),|S128
/AwakeEventData/MPPAWAKE-STANDA-12.AXIS06/Movement/position,dataset,1,(),|S128
/AwakeEventData/MPPAWAKE-STANDA-12.AXIS06/Movement/rightLimitSwitchReached,dataset,1,(),|S128
/AwakeEventData/MPPAWAKE-STANDA-12.AXIS07,group,n/a,n/a,n/a
/AwakeEventData/MPPAWAKE-STANDA-12.AXIS07/Movement,group,n/a,n/a,n/a
/AwakeEventData/MPPAWAKE-STANDA-12.AXIS07/Movement/leftLimitSwitchReached,dataset,1,(),|S128
/AwakeEventData/MPPAWAKE-STANDA-12.AXIS07/Movement/position,dataset,1,(),|S128
/AwakeEventData/MPPAWAKE-STANDA-12.AXIS07/Movement/rightLimitSwitchReached,dataset,1,(),|S128
/AwakeEventData/MPPAWAKE-STANDA-12.AXIS08,group,n/a,n/a,n/a
/AwakeEventData/MPPAWAKE-STANDA-12.AXIS08/Movement,group,n/a,n/a,n/a
/AwakeEventData/MPPAWAKE-STANDA-12.AXIS08/Movement/leftLimitSwitchReached,dataset,1,(),|S128
/AwakeEventData/MPPAWAKE-STANDA-12.AXIS08/Movement/position,dataset,1,(),|S128
/AwakeEventData/MPPAWAKE-STANDA-12.AXIS08/Movement/rightLimitSwitchReached,dataset,1,(),|S128
/AwakeEventData/MPPAWAKE-STANDA-12.AXIS09,group,n/a,n/a,n/a
/AwakeEventData/MPPAWAKE-STANDA-12.AXIS09/Movement,group,n/a,n/a,n/a
/AwakeEventData/MPPAWAKE-STANDA-12.AXIS09/Movement/leftLimitSwitchReached,dataset,1,(),|S128
/AwakeEventData/MPPAWAKE-STANDA-12.AXIS09/Movement/position,dataset,1,(),|S128
/AwakeEventData/MPPAWAKE-STANDA-12.AXIS09/Movement/rightLimitSwitchReached,dataset,1,(),|S128
